list
ain't he,is he not
Ain't he,Is he not
ain't I,am I not
Ain't I,Am I not
ain't,is not
ain't it,is it not
Ain't it,Is it not
ain't she,is she not
Ain't she,Is she not
ain't they,are they not
Ain't they,Are they not
ain't we,are we not
Ain't we,Are we not
ain't you,are you not
Ain't you,Are you not
aren't,are not
arent,are not
Aren't,Are not
Arent,Are not
arentcha,are you not
Arentcha,Are you not
betcha,yes
Betcha,Yes
'bout,about
cannot,can not
Cannot,Can not
can't,can not
cant,can not
Can't,Can not
Cant,Can not
c'mon,come on
C'mon,Come on
coulda,could have
Coulda,could have
couldna,could have not
Couldna,Could have not
couldn't,could not
couldnt,could not
Couldn't,Could not
Couldnt,Could not
could of,could have
Could of,Could have
didntcha,did you not
Didntcha,Did you not
didn't,did not
didnt,did not
Didn't,Did not
Didnt,Did not
doesn't,does not
doesnt,does not
Doesn't,Does not
Doesnt,Does not
dontcha,do you not
Dontcha,Do you not
don't,do not
dont,do not
Don't,Do not
Dont,Do not
dunno,do not know
Dunno,Do not know
'em,them
gimme,give me
Gimme,Give me
gonna,going to
Gonna,Going to
gotcha,got you
Gotcha,got you
gotta,got to
Gotta,Got to
hadn't,had not
hadnt,had not
Hadn't,Had not
Hadnt,Had not
hafta,have to
Hafta,Have to
hasn't,has not
hasnt,has not
Hasn't,Has not
Hasnt,Has not
hasta,has to
Hasta,Has to
haven't,have not
havent,have not
Haven't,Have not
Havent,Have not
he ain't,he is not
He ain't,He is not
he'da,he would have
He'da,He would have
he'd,he would
hed,he would
He'd,He would
Hed,He would
he'll,he will
He'll,He will
he's,he is
hes,he is
He's,He is
Hes,He is
how's,how is
hows,how is
How's,How is
Hows,How is
i ain't,I am not
I ain't,I am not
I'da,I would have
i'd,I would
I'd,I would
i'll,I will
I'll,I will
i'm,I am
im,I am
I'm,I am
Im,I am
i'mma,I am going to
imma,I am going to
I'mma,I am going to
Imma,I am going to
isn't,is not
isnt,is not
Isn't,Is not
Isnt,Is not
it ain't,it is not
It ain't,It is not
it'd,it would
itd,it would
It'd,It would
Itd,It would
it'll,it will
It'll,It will
it's,it is
It's,It is
i've,I have
ive,I have
I've,I have
Ive,I have
kinda,kind of
Kinda,Kind of
lemme,let me
Lemme,Let me
let's,let us
lets,let us
Let's,Let us
Lets,Let us
lotta,lot of
Lotta,Lot of
ma'am,madam
Ma'am,madam
Mighn't,Might not
mighta,might have
Mighta,Might have
mightn't,might not
mightnt,might not
Mightnt,Might not
musta,must have
Musta,Must have
mustn't,must not
mustnt,must not
Mustn't,Must not
Mustnt,Must not
needa,need to
Needa,Need to
needn't,need not
neednt,need not
Needn't,Need not
Neednt,Need not
oughta,ought to
Oughta,Ought to
outta,out of
Outta,Out of
shan't,shall not
shant,shall not
Shan't,Shall not
Shant,Shall not
she ain't,she is not
She ain't,She is not
she'da,she would have
She'da,She would have
she'd,she would
shed,she would
She'd,She would
Shed,She would
she'll,she will
She'll,She will
she's,she is
shes,she is
She's,She is
Shes,She is
shoulda,should have
Shoulda,should have
shouldna,should have not
Shouldna,Should have not
shouldn't,should not
shouldnt,should not
Shouldn't,Should not
Shouldnt,Should not
should of,should have
Should of,should have
s'more,some more
S'more,Some more
sorta,sort of
Sorta,Sort of
supposeta,supposed to
Supposeta,Supposed to
tellem,tell them
Tellem,Tell them
that's,that is
thats,that is
That's,That is
Thats,That is
they ain't,they are not
They ain't,They are not
they'da,they would have
They'da,They would have
they'd,they would
theyd,they would
They'd,They would
Theyd,They would
they'll,they will
theyll,they will
They'll,They will
Theyll,They will
they're,they are
theyre,they are
They're,They are
Theyre,They are
they've,they have
theyve,they have
They've,They have
Theyve,They have
useta,use to
Useta,Use to
wanna,want to
Wanna,want to
wasn't,was not
wasnt,was not
Wasn't,Was not
Wasnt,Was not
watcha,what are you
Watcha,What are you
we ain't,we are not
We ain't,We are not
we'd,we would
We'd,We would
we'll,we will
We'll,We will
weren't,were not
werent,were not
Weren't,Were not
Werent,Were not
we're,we are
We're,We are
we've,we have
weve,we have
We've,We have
Weve,We have
whatcha,what are you
Whatcha,What are you
what's,what is
whats,what is
What's,What is
Whats,What is
when's,when is
whens,when is
When's,When is
Whens,When is
where's,where is
wheres,where is
Where's,Where is
Wheres,Where is
which's,which is
whichs,which is
Which's,Which is
Whichs,Which is
who's,who is
whos,who is
Who's,Who is
Whos,Who is
why's,why is
whys,why is
Why's,Why is
Whys,Why is
wontcha,will you not
Wontcha,Will you not
won't,will not
wont,will not
Won't,Will not
Wont,Will not
wouldna,would have not
Wouldna,Would have not
wouldn't,would not
wouldnt,would not
Wouldn't,Would not
Wouldnt,Would not
would of,would have
Would of,Would have
would't,would it
Would't,Would it
y'all,all of you
Y'all,All of you
yall,all of you
Yall,All of you
yknow,you know
Yknow,You know
you ain't,you are not
You ain't,You are not
you betcha,yes
You betcha,Yes
you'da,you would have
You'da,You would have
you'd,you would
youd,you would
You'd,You would
Youd,You would
you'll,you will
youll,you will
You'll,You will
Youll,You will
you're,you are
youre,you are
You're,You are
Youre,You are
you've,you have
youve,you have
You've,You have
Youve,You have
